added,anonymous,count,deleted,delta,geo,language,namespace,newPage,page,robot,time,unpatrolled,user
0,0,1,-220,-220,no_geo,en,article,0,Ky-Mani_Marley,1,2013-02-26T05:00:00.000Z,0,Addbot
0,0,1,-235,-235,no_geo,en,article,0,Kyla_Pratt,1,2013-02-26T05:00:00.000Z,0,Addbot
0,0,1,-234,-234,no_geo,en,article,0,Kyllburg_(Verbandsgemeinde),1,2013-02-26T05:00:00.000Z,0,Addbot
0,0,1,-258,-258,no_geo,en,article,0,Kyōto_Station,1,2013-02-26T05:00:00.000Z,0,Addbot
0,0,1,-310,-310,no_geo,en,article,0,Kyriakoulis_Mavromichalis,1,2013-02-26T05:00:00.000Z,0,Addbot
0,0,1,-329,-329,no_geo,en,article,0,Kyushu_Shinkansen,1,2013-02-26T05:00:00.000Z,0,Addbot
0,0,1,-296,-296,no_geo,en,article,0,L'Année_Sociologique,1,2013-02-26T05:00:00.000Z,0,Addbot
0,0,1,-240,-240,no_geo,en,article,0,L'Entente_SSG,1,2013-02-26T05:00:00.000Z,0,Addbot
0,0,1,-147,-147,no_geo,en,article,0,L-number,1,2013-02-26T05:00:00.000Z,0,Addbot
6,0,1,0,6,no_geo,en,article,0,Labyrinthitis,0,2013-02-26T05:00:00.000Z,0,Choess
168,1,3,0,168,known,en,article,0,Landscape_urbanism,0,2013-02-26T05:00:00.000Z,0,14.136.145.86
23,0,1,0,23,no_geo,fr,article,0,Laurent_Bateau,1,2013-02-26T05:00:00.000Z,0,ZéroBot
18,0,1,0,18,no_geo,ro,article,0,La_Bazeuge,1,2013-02-26T05:00:00.000Z,0,ZéroBot
0,0,1,-233,-233,no_geo,en,article,0,"La_Calera,_Colombia",1,2013-02-26T05:00:00.000Z,0,Addbot
0,0,1,-113,-113,no_geo,en,article,0,La_Chaux,1,2013-02-26T05:00:00.000Z,0,Addbot
0,0,1,-248,-248,no_geo,en,article,0,"La_Crosse,_Washington",1,2013-02-26T05:00:00.000Z,0,Addbot
0,0,1,-236,-236,no_geo,en,article,0,"La_Floresta,_Lleida",1,2013-02-26T05:00:00.000Z,0,Addbot
44,0,1,0,44,no_geo,es,article,0,La_joven_de_la_perla_(novela),1,2013-02-26T05:00:00.000Z,0,ZéroBot
0,0,1,-288,-288,no_geo,en,article,0,"La_Marque,_Texas",1,2013-02-26T05:00:00.000Z,0,Addbot
0,0,1,-325,-325,no_geo,en,article,0,La_Mauricie_National_Park,1,2013-02-26T05:00:00.000Z,0,Addbot
0,0,1,-217,-217,no_geo,en,article,0,"La_Monte,_Missouri",1,2013-02-26T05:00:00.000Z,0,Addbot
0,0,1,-349,-349,no_geo,en,article,0,La_Palma_d'Ebre,1,2013-02-26T05:00:00.000Z,0,Addbot
0,0,1,-248,-248,no_geo,en,article,0,La_Plata_Partido,1,2013-02-26T05:00:00.000Z,0,Addbot
37,0,1,0,37,no_geo,de,article,0,Leonardo_Conti_(Arzt),1,2013-02-26T05:00:00.000Z,0,MorbZ-Bot
2023,0,1,0,2023,no_geo,sv,article,1,Leporellus_retropinnis,1,2013-02-26T05:00:00.000Z,0,Lsjbot
2350,0,1,0,2350,no_geo,sv,article,0,Leporinus_aripuanaensis,1,2013-02-26T05:00:00.000Z,0,Lsjbot
64,0,1,0,64,no_geo,sv,article,1,Leporinus_fasciatus,1,2013-02-26T05:00:00.000Z,0,Lsjbot
70,0,1,0,70,no_geo,sv,article,1,Leporinus_margaritaceus,1,2013-02-26T05:00:00.000Z,0,Lsjbot
67,0,1,0,67,no_geo,sv,article,1,Leporinus_pellegrini,1,2013-02-26T05:00:00.000Z,0,Lsjbot
1934,0,1,0,1934,no_geo,sv,article,1,Leporinus_trifasciatus,1,2013-02-26T05:00:00.000Z,0,Lsjbot
41,0,1,0,41,no_geo,sv,article,0,Lettiska_SSR,1,2013-02-26T05:00:00.000Z,0,MerlIwBot
15,0,1,0,15,no_geo,eo,article,0,Lhotsko,1,2013-02-26T05:00:00.000Z,0,EmausBot
58,0,1,0,58,no_geo,en,article,0,Lindsay_Buick,0,2013-02-26T05:00:00.000Z,0,Paora
9,0,1,0,9,no_geo,de,article,0,Liste_der_Biografien/Sz,1,2013-02-26T05:00:00.000Z,0,APPERbot
86,0,1,0,86,no_geo,de,article,0,Liste_der_Biografien/Wu,1,2013-02-26T05:00:00.000Z,0,APPERbot
20,0,1,0,20,no_geo,de,article,0,Liste_geteilter_Inseln,1,2013-02-26T05:00:00.000Z,0,MerlIwBot
1115,0,3,-1,1114,no_geo,en,article,0,List_of_bus_routes_in_the_Bronx,0,2013-02-26T05:00:00.000Z,0,SkipperRipper
0,1,1,-2547,-2547,known,en,article,0,List_of_films_considered_the_worst,0,2013-02-26T05:00:00.000Z,0,75.141.100.53
57,1,1,0,57,known,en,article,0,List_of_marketing_research_firms,0,2013-02-26T05:00:00.000Z,0,27.251.60.78
0,1,1,-22763,-22763,known,en,article,0,List_of_screamo_bands,0,2013-02-26T05:00:00.000Z,0,63.155.150.128
48,1,2,-168,-120,known,en,article,0,Lito_Lapid,0,2013-02-26T05:00:00.000Z,0,121.96.36.11
0,0,1,-277,-277,no_geo,en,article,0,Loopback_Latimer,0,2013-02-26T05:00:00.000Z,0,MrX
14,0,1,0,14,no_geo,nl,article,0,Luchtpomp_(sterrenbeeld),1,2013-02-26T05:00:00.000Z,0,MerlIwBot
18,0,1,0,18,no_geo,fr,article,0,Lukoveček,1,2013-02-26T05:00:00.000Z,0,EmausBot
16,0,1,0,16,no_geo,fr,article,0,Lutonina,1,2013-02-26T05:00:00.000Z,0,EmausBot
28,0,1,0,28,no_geo,nl,article,0,Macaroeris_diligens,1,2013-02-26T05:00:00.000Z,0,EmausBot
0,0,1,-60,-60,no_geo,de,article,0,Magirus-Deutz,0,2013-02-26T05:00:00.000Z,0,C-C-Baxter
159,0,1,0,159,no_geo,fi,wikipedia,0,Malline:Naisten_alppihiihdon_maailmancupvoittajat,1,2013-02-26T05:00:00.000Z,0,MerlIwBot
35,0,1,0,35,no_geo,de,article,0,Manfred_Konieczka,1,2013-02-26T05:00:00.000Z,0,MorbZ-Bot
26,0,1,0,26,no_geo,eu,article,0,Mantxukuo,1,2013-02-26T05:00:00.000Z,0,JYBot
0,0,1,-9,-9,no_geo,en,article,0,Marian_Anderson,0,2013-02-26T05:00:00.000Z,0,Hoppeduppeanut
0,0,1,-37,-37,no_geo,en,article,0,Mate_(beverage),0,2013-02-26T05:00:00.000Z,0,Cybercobra
356,0,1,0,356,no_geo,en,wikipedia,0,MediaWiki_talk:Spam-whitelist,0,2013-02-26T05:00:00.000Z,0,Rybec
29,0,1,0,29,no_geo,fi,wikipedia,0,Metasivu:Malline:Both,1,2013-02-26T05:00:00.000Z,0,MerlIwBot
30,0,1,0,30,no_geo,ms,article,0,Mézières-sur-Issoire,1,2013-02-26T05:00:00.000Z,0,Makecat-bot
81,0,1,0,81,no_geo,pt,article,0,Mika_Chiba,0,2013-02-26T05:00:00.000Z,0,Renato de carvalho ferreira
28,0,1,0,28,no_geo,nl,article,0,Mintonia_caliginosa,1,2013-02-26T05:00:00.000Z,0,EmausBot
51,0,1,0,51,no_geo,fr,wikipedia,0,Modèle:Palette_Championnes_olympiques_de_ski_alpin_slalom_géant_femmes,1,2013-02-26T05:00:00.000Z,0,MerlIwBot
0,0,1,-26,-26,no_geo,en,article,0,Mongolian_People's_Army,0,2013-02-26T05:00:00.000Z,0,Donner60
11,0,1,0,11,no_geo,de,article,0,Möwenstein_(Ummanz),1,2013-02-26T05:00:00.000Z,0,MorbZ-Bot
27,0,1,0,27,no_geo,vi,article,0,Muziris_epigynatus,1,2013-02-26T05:00:00.000Z,0,EmausBot
12,1,1,0,12,known,en,article,0,National_Board_of_Boiler_and_Pressure_Vessel_Inspectors,0,2013-02-26T05:00:00.000Z,0,76.117.247.55
23,0,1,0,23,no_geo,cs,article,0,Nedašova_Lhota,1,2013-02-26T05:00:00.000Z,0,EmausBot
27,0,1,0,27,no_geo,vi,article,0,Neonella_antillana,1,2013-02-26T05:00:00.000Z,0,EmausBot
12,1,1,0,12,known,en,article,0,New_Beginning_(SWV_album),0,2013-02-26T05:00:00.000Z,0,98.116.192.57
0,0,1,-1478,-1478,no_geo,ms,article,0,Nik_Nazmi_Bin_Nik_Ahmad,0,2013-02-26T05:00:00.000Z,0,Yosri
32,0,1,0,32,no_geo,vi,article,0,Noegus_niger,1,2013-02-26T05:00:00.000Z,0,TuHan-Bot
8,0,1,0,8,no_geo,vi,article,0,"Nogales,_Sonora",1,2013-02-26T05:00:00.000Z,0,TuHan-Bot
0,0,1,-56,-56,no_geo,vi,article,0,Nogent-sur-Eure,1,2013-02-26T05:00:00.000Z,0,TuHan-Bot
0,0,1,-2,-2,no_geo,vi,article,0,Noguera_de_Albarracín,1,2013-02-26T05:00:00.000Z,0,TuHan-Bot
33,0,1,0,33,no_geo,vi,article,0,"Nointel,_Val-d'Oise",1,2013-02-26T05:00:00.000Z,0,TuHan-Bot
33,0,1,0,33,no_geo,vi,article,0,Noisy-sur-Oise,1,2013-02-26T05:00:00.000Z,0,TuHan-Bot
182,0,1,0,182,no_geo,vi,article,0,Nokia_5800_XpressMusic,1,2013-02-26T05:00:00.000Z,0,TuHan-Bot
228,0,1,0,228,no_geo,vi,article,0,Nokia_N9,1,2013-02-26T05:00:00.000Z,0,TuHan-Bot
6,0,1,0,6,no_geo,vi,article,0,Nola_karelica,1,2013-02-26T05:00:00.000Z,0,TuHan-Bot
64,0,1,0,64,no_geo,vi,article,0,Nomada_accepta,1,2013-02-26T05:00:00.000Z,0,TuHan-Bot
64,0,1,0,64,no_geo,vi,article,0,Nomada_amorphae,1,2013-02-26T05:00:00.000Z,0,TuHan-Bot
64,0,1,0,64,no_geo,vi,article,0,Nomada_ashmeadi,1,2013-02-26T05:00:00.000Z,0,TuHan-Bot
64,0,1,0,64,no_geo,vi,article,0,Nomada_babai,1,2013-02-26T05:00:00.000Z,0,TuHan-Bot
2713,0,1,0,2713,no_geo,ms,article,1,Nový_Svet,0,2013-02-26T05:00:00.000Z,0,Aplikasi
13,0,1,0,13,no_geo,de,article,0,Oliver_Conrad,1,2013-02-26T05:00:00.000Z,0,MorbZ-Bot
0,0,1,-19209,-19209,no_geo,id,article,0,Operation_Odyssey_Dawn,0,2013-02-26T05:00:00.000Z,0,Albertus Aditya
0,0,1,-209,-209,no_geo,en,article,0,Óscar_Brayson,1,2013-02-26T05:00:00.000Z,0,Addbot
0,0,1,-1,-1,no_geo,ca,article,0,Ourol,1,2013-02-26T05:00:00.000Z,0,EmausBot
754,1,2,0,754,known,en,article,0,Owen_Mays,0,2013-02-26T05:00:00.000Z,0,75.121.183.37
46,0,1,0,46,no_geo,de,article,0,Palazzo_Skanderbeg,0,2013-02-26T05:00:00.000Z,0,Jmv
15,0,1,0,15,no_geo,en,article,0,Parliamentarians_for_Nuclear_Non-Proliferation_and_Disarmament,0,2013-02-26T05:00:00.000Z,0,Johnfos
1,1,1,0,1,known,en,article,0,"Peggys_Cove,_Nova_Scotia",0,2013-02-26T05:00:00.000Z,0,70.27.91.77
4669,0,1,0,4669,no_geo,id,wikipedia,1,Pembicaraan_Pengguna:Miska_likasina,1,2013-02-26T05:00:00.000Z,0,LaninBot
11,0,1,0,11,no_geo,ms,wikipedia,1,Perbincangan:Most_pri_Bratislave,0,2013-02-26T05:00:00.000Z,0,Aplikasi
216,1,2,0,216,known,en,article,0,Peristalsis,0,2013-02-26T05:00:00.000Z,0,97.121.225.128
0,1,1,-44,-44,known,en,article,0,PhysX,0,2013-02-26T05:00:00.000Z,0,195.240.152.138
14,0,1,0,14,no_geo,fr,article,0,Pissy,1,2013-02-26T05:00:00.000Z,0,MerlIwBot
21,0,1,0,21,no_geo,sk,article,0,Plachy-Buyon,1,2013-02-26T05:00:00.000Z,0,MerlIwBot
31,0,1,0,31,no_geo,lt,article,0,Platėjos_mūšis,1,2013-02-26T05:00:00.000Z,0,Xqbot
35,0,1,0,35,no_geo,fi,article,0,Polio,1,2013-02-26T05:00:00.000Z,0,MerlIwBot
0,0,1,-22,-22,no_geo,en,article,0,Polypropylene,0,2013-02-26T05:00:00.000Z,0,Daniele Pugliesi
14,0,1,0,14,no_geo,fr,wikipedia,0,Portail:Université/Articles_récents,1,2013-02-26T05:00:00.000Z,0,HAL
176,1,1,0,176,known,en,article,0,Power_nap,0,2013-02-26T05:00:00.000Z,0,119.40.118.36
51,0,1,0,51,no_geo,sl,wikipedia,0,Predloga:Footer_Olympic_Champions_Giant_Slalom_Women,1,2013-02-26T05:00:00.000Z,0,MerlIwBot
61,0,1,0,61,no_geo,eo,article,0,Project_Gutenberg,1,2013-02-26T05:00:00.000Z,0,MerlIwBot
29,0,1,0,29,no_geo,fr,article,0,Pseudemathis_trifida,1,2013-02-26T05:00:00.000Z,0,EmausBot
21,0,1,0,21,no_geo,sv,article,0,Pseudomaevia,1,2013-02-26T05:00:00.000Z,0,EmausBot
20,0,1,0,20,no_geo,de,article,0,Pu_Jie,1,2013-02-26T05:00:00.000Z,0,Makecat-bot
14,0,1,0,14,no_geo,de,article,0,Radka_Donnell,0,2013-02-26T05:00:00.000Z,0,KurtR
20,0,1,0,20,no_geo,en,article,0,Raphael_Holzhauser,0,2013-02-26T05:00:00.000Z,0,RudolfSimon
60,0,1,0,60,no_geo,id,article,0,RED_(film_2010),1,2013-02-26T05:00:00.000Z,0,MerlIwBot
36,0,1,0,36,no_geo,nl,article,0,Región_Autónoma_del_Atlántico_Sur,1,2013-02-26T05:00:00.000Z,0,ZéroBot
8,0,1,0,8,no_geo,en,article,0,Reproductive_rights,0,2013-02-26T05:00:00.000Z,0,CsDix
0,0,1,-1,-1,no_geo,ca,article,0,Ribeira_de_Piquín,1,2013-02-26T05:00:00.000Z,0,EmausBot
493,0,1,0,493,no_geo,en,article,1,Righteous_Renos_(www.righteousrenos.com),0,2013-02-26T05:00:00.000Z,1,Fchammas78
28,1,1,0,28,known,en,article,0,Rocketship_X-M,0,2013-02-26T05:00:00.000Z,0,24.2.222.187
8,0,2,0,8,no_geo,en,article,0,Room_in_Rome,0,2013-02-26T05:00:00.000Z,0,PlanetEditor
51,0,1,0,51,no_geo,tr,wikipedia,0,Şablon:Alp_disiplini_Olimpiyat_şampiyonları_-_Kadınlar_büyük_slalom,1,2013-02-26T05:00:00.000Z,0,MerlIwBot
19,0,1,0,19,no_geo,de,article,0,Salva_(Bistrița-Năsăud),1,2013-02-26T05:00:00.000Z,0,MorbZ-Bot
413,0,1,0,413,no_geo,en,article,0,San_Dieguito_Academy,0,2013-02-26T05:00:00.000Z,0,FishermanBob
4,0,1,0,4,no_geo,en,wikipedia,0,Say_It_Live_and_Loud:_Live_in_Dallas_08.26.68,0,2013-02-26T05:00:00.000Z,0,InnocuousPseudonym
2089,0,1,0,2089,no_geo,sv,article,1,Schizodon_jacuiensis,1,2013-02-26T05:00:00.000Z,0,Lsjbot
62,0,1,0,62,no_geo,en,article,0,Sean_Williams_(basketball),0,2013-02-26T05:00:00.000Z,0,Chrishmt0423
195,0,1,0,195,no_geo,en,article,0,Sethrida_Geagea,0,2013-02-26T05:00:00.000Z,0,Elie plus
48,0,1,0,48,no_geo,pl,article,0,Shiyali_Ramamrita_Ranganathan,1,2013-02-26T05:00:00.000Z,0,MerlIwBot
25,0,1,0,25,no_geo,sv,article,0,Sidusa_recondita,1,2013-02-26T05:00:00.000Z,0,EmausBot
28,0,1,0,28,no_geo,sv,article,0,Simaethula_violacea,1,2013-02-26T05:00:00.000Z,0,EmausBot
0,0,1,-2,-2,no_geo,it,wikipedia,0,Skylanders:_Giants,1,2013-02-26T05:00:00.000Z,0,FrescoBot
30,0,1,0,30,no_geo,sv,article,0,Sobasina_solomonensis,1,2013-02-26T05:00:00.000Z,0,EmausBot
17,0,1,0,17,no_geo,de,article,0,Sozialfaschismusthese,1,2013-02-26T05:00:00.000Z,0,MorbZ-Bot
32,0,1,0,32,no_geo,en,article,1,SR_45_(IL),0,2013-02-26T05:00:00.000Z,0,TheCatalyst31
0,0,1,-18,-18,no_geo,en,article,0,Star_Trak_Entertainment,0,2013-02-26T05:00:00.000Z,0,Esanchez7587
31,0,1,0,31,no_geo,vi,article,0,Stertinius_dentichelis,1,2013-02-26T05:00:00.000Z,0,EmausBot
30,0,1,0,30,no_geo,ms,article,0,Sungai_Furat,1,2013-02-26T05:00:00.000Z,0,MerlIwBot
47,0,1,0,47,no_geo,pl,wikipedia,0,Szablon:Mistrzyni_Olimpijska_narciarstwo_alpejskie_slalom_specjalny,1,2013-02-26T05:00:00.000Z,0,MerlIwBot
81,0,1,0,81,no_geo,pt,article,0,Takayuki_Negishi,0,2013-02-26T05:00:00.000Z,0,Renato de carvalho ferreira
602,0,1,0,602,no_geo,en,wikipedia,0,Talk:Arts_on_the_Line,0,2013-02-26T05:00:00.000Z,0,Masem
977,0,1,0,977,no_geo,en,wikipedia,0,Talk:Distillers_in_Canada,0,2013-02-26T05:00:00.000Z,0,Jskomorokh
369,0,1,0,369,no_geo,en,wikipedia,0,Talk:Human,0,2013-02-26T05:00:00.000Z,0,Chrisrus
464,0,1,0,464,no_geo,en,wikipedia,0,Talk:List_of_WWE_personnel,0,2013-02-26T05:00:00.000Z,0,Vjmlhds
32,0,1,0,32,no_geo,en,wikipedia,0,Talk:Paul_Igasaki,0,2013-02-26T05:00:00.000Z,0,TommyBoy
20,0,1,0,20,no_geo,en,wikipedia,0,Talk:The_Ren_&_Stimpy_Show,0,2013-02-26T05:00:00.000Z,0,Jj98
1276,0,3,-1,1275,no_geo,en,article,0,Tap_dance,0,2013-02-26T05:00:00.000Z,0,Soierouge
26,0,1,0,26,no_geo,nl,article,0,Telamonia_mundula,1,2013-02-26T05:00:00.000Z,0,EmausBot
64,0,1,0,64,no_geo,id,wikipedia,0,Templat:MedalSport,1,2013-02-26T05:00:00.000Z,0,MerlIwBot
135,0,1,0,135,no_geo,en,wikipedia,0,Template:Infobox_cemetery/doc,0,2013-02-26T05:00:00.000Z,0,مانفی
0,0,1,-8,-8,no_geo,en,wikipedia,0,Template:PBB/10023,1,2013-02-26T05:00:00.000Z,0,ProteinBoxBot
0,0,1,-8,-8,no_geo,en,wikipedia,0,Template:PBB/10573,1,2013-02-26T05:00:00.000Z,0,ProteinBoxBot
0,0,1,-8,-8,no_geo,en,wikipedia,0,Template:PBB/11161,1,2013-02-26T05:00:00.000Z,0,ProteinBoxBot
0,0,1,-8,-8,no_geo,en,wikipedia,0,Template:PBB/1198,1,2013-02-26T05:00:00.000Z,0,ProteinBoxBot
0,0,1,-8,-8,no_geo,en,wikipedia,0,Template:PBB/135948,1,2013-02-26T05:00:00.000Z,0,ProteinBoxBot
0,0,1,-8,-8,no_geo,en,wikipedia,0,Template:PBB/1662,1,2013-02-26T05:00:00.000Z,0,ProteinBoxBot
0,0,1,-8,-8,no_geo,en,wikipedia,0,Template:PBB/219436,1,2013-02-26T05:00:00.000Z,0,ProteinBoxBot
0,0,1,-8,-8,no_geo,en,wikipedia,0,Template:PBB/22795,1,2013-02-26T05:00:00.000Z,0,ProteinBoxBot
0,0,1,-8,-8,no_geo,en,wikipedia,0,Template:PBB/23659,1,2013-02-26T05:00:00.000Z,0,ProteinBoxBot
0,0,1,-8,-8,no_geo,en,wikipedia,0,Template:PBB/26272,1,2013-02-26T05:00:00.000Z,0,ProteinBoxBot
0,0,1,-4,-4,no_geo,en,wikipedia,0,Template:PBB/27180,1,2013-02-26T05:00:00.000Z,0,ProteinBoxBot
0,0,1,-8,-8,no_geo,en,wikipedia,0,Template:PBB/2895,1,2013-02-26T05:00:00.000Z,0,ProteinBoxBot
0,0,1,-8,-8,no_geo,en,wikipedia,0,Template:PBB/3430,1,2013-02-26T05:00:00.000Z,0,ProteinBoxBot
0,0,1,-8,-8,no_geo,en,wikipedia,0,Template:PBB/390144,1,2013-02-26T05:00:00.000Z,0,ProteinBoxBot
0,0,1,-8,-8,no_geo,en,wikipedia,0,Template:PBB/390882,1,2013-02-26T05:00:00.000Z,0,ProteinBoxBot
0,0,1,-8,-8,no_geo,en,wikipedia,0,Template:PBB/4245,1,2013-02-26T05:00:00.000Z,0,ProteinBoxBot
0,0,1,-8,-8,no_geo,en,wikipedia,0,Template:PBB/51780,1,2013-02-26T05:00:00.000Z,0,ProteinBoxBot
0,0,1,-8,-8,no_geo,en,wikipedia,0,Template:PBB/64122,1,2013-02-26T05:00:00.000Z,0,ProteinBoxBot
0,0,1,-8,-8,no_geo,en,wikipedia,0,Template:PBB/7546,1,2013-02-26T05:00:00.000Z,0,ProteinBoxBot
0,0,1,-8,-8,no_geo,en,wikipedia,0,Template:PBB/81448,1,2013-02-26T05:00:00.000Z,0,ProteinBoxBot
0,0,1,-8,-8,no_geo,en,wikipedia,0,Template:PBB/84335,1,2013-02-26T05:00:00.000Z,0,ProteinBoxBot
0,0,1,-4,-4,no_geo,en,wikipedia,0,Template:PBB/8875,1,2013-02-26T05:00:00.000Z,0,ProteinBoxBot
0,0,1,-8,-8,no_geo,en,wikipedia,0,Template:PBB/9404,1,2013-02-26T05:00:00.000Z,0,ProteinBoxBot
0,0,1,-8,-8,no_geo,en,wikipedia,0,Template:PBB/9820,1,2013-02-26T05:00:00.000Z,0,ProteinBoxBot
1,1,1,0,1,known,en,article,0,Tennis_Court_Oath,0,2013-02-26T05:00:00.000Z,0,41.129.102.88
0,0,1,-2,-2,no_geo,no,article,0,Theofilos_av_Antiokia,1,2013-02-26T05:00:00.000Z,0,EmausBot
0,0,1,-9,-9,no_geo,pt,article,0,The_Blue_Max,1,2013-02-26T05:00:00.000Z,0,Xqbot
0,1,1,-51,-51,known,en,wikipedia,0,The_Lord_of_the_Rings:_The_Third_Age,0,2013-02-26T05:00:00.000Z,0,121.45.202.216
24,0,1,0,24,no_geo,nl,article,0,Thiania_sinuata,1,2013-02-26T05:00:00.000Z,0,EmausBot
26,0,1,0,26,no_geo,nl,article,0,Thyene_imperialis,1,2013-02-26T05:00:00.000Z,0,EmausBot
24,0,1,0,24,no_geo,ms,article,0,Tigris,1,2013-02-26T05:00:00.000Z,0,MerlIwBot
16,0,1,0,16,no_geo,cs,article,0,Tkibuli,1,2013-02-26T05:00:00.000Z,0,MerlIwBot
86,0,1,0,86,no_geo,en,article,0,Toronto_Islands,0,2013-02-26T05:00:00.000Z,0,Richard apple
25,0,1,0,25,no_geo,vi,article,0,Trận_Peleliu,1,2013-02-26T05:00:00.000Z,0,Makecat-bot
563,0,10,-711,-148,no_geo,ru,article,0,TTL-экспонометр,0,2013-02-26T05:00:00.000Z,0,Runner1616
30,0,1,0,30,no_geo,en,article,1,Tututepec_Mixteco_language,0,2013-02-26T05:00:00.000Z,0,Kwamikagami
2,0,1,0,2,no_geo,en,article,0,Tytler_cycle,1,2013-02-26T05:00:00.000Z,0,FrescoBot
1,0,1,0,1,no_geo,en,article,0,United_Nations_Conference_on_the_Human_Environment,0,2013-02-26T05:00:00.000Z,0,Robertson-Glasgow
0,0,1,-23,-23,no_geo,en,article,0,Up_(film_score),0,2013-02-26T05:00:00.000Z,0,Melodia
0,0,1,-37,-37,no_geo,en,wikipedia,0,User:Amycaroline321/sandbox,1,2013-02-26T05:00:00.000Z,0,AvicBot
19,0,1,0,19,no_geo,zh,wikipedia,0,User:Diasimon2003,0,2013-02-26T05:00:00.000Z,0,Diasimon2003
0,0,1,-3710,-3710,no_geo,en,wikipedia,0,User:Joe_feyzullah/common.js,0,2013-02-26T05:00:00.000Z,0,Joe feyzullah
10,0,1,0,10,no_geo,en,wikipedia,0,User:Patchy1/Reference_this_BLP,1,2013-02-26T05:00:00.000Z,0,AnomieBOT
482,0,1,0,482,no_geo,en,wikipedia,0,User:Todossomosactodos/A_Midsummer_Night’s_Dream_-_Act_2,0,2013-02-26T05:00:00.000Z,0,Todossomosactodos
0,0,1,-8663,-8663,no_geo,en,wikipedia,0,User:Wbm1058/Proposed_mergers/Log/September_2012,0,2013-02-26T05:00:00.000Z,0,Merge bot
1439,0,1,0,1439,no_geo,en,wikipedia,1,User_talk:171.226.104.120,0,2013-02-26T05:00:00.000Z,1,Nguyen1310
340,0,1,0,340,no_geo,en,wikipedia,1,User_talk:69.86.105.20,0,2013-02-26T05:00:00.000Z,0,Donner60
686,0,1,0,686,no_geo,en,wikipedia,1,User_talk:98.255.1.212,0,2013-02-26T05:00:00.000Z,1,MarnetteD
25,0,1,0,25,no_geo,en,wikipedia,1,User_talk:Cmpscience,0,2013-02-26T05:00:00.000Z,1,Tukutukudina
748,0,1,0,748,no_geo,en,wikipedia,0,User_talk:Greg26_93,0,2013-02-26T05:00:00.000Z,0,TEB728
578,0,1,0,578,no_geo,en,wikipedia,0,User_talk:Mishae,0,2013-02-26T05:00:00.000Z,0,Ryan Vesey
264,0,1,0,264,no_geo,en,wikipedia,0,User_talk:Stoddard_Martin,0,2013-02-26T05:00:00.000Z,0,BigPimpinBrah
0,0,1,-25,-25,no_geo,en,article,0,USS_Massachusetts_(BB-59),0,2013-02-26T05:00:00.000Z,0,Derekbridges
412,0,1,0,412,no_geo,es,wikipedia,0,Usuario_discusión:201.173.120.97,0,2013-02-26T05:00:00.000Z,0,Waka Waka
0,0,1,-189,-189,no_geo,en,article,0,"Úžice,_Mělník",1,2013-02-26T05:00:00.000Z,0,Addbot
19,0,1,0,19,no_geo,en,article,0,Ventrilo,1,2013-02-26T05:00:00.000Z,0,AnomieBOT
448,0,2,0,448,no_geo,pt,article,0,VLT_do_Rio_de_Janeiro,0,2013-02-26T05:00:00.000Z,0,MachoCarioca
15,0,1,0,15,no_geo,en,article,0,Wake_Forest_University,0,2013-02-26T05:00:00.000Z,0,Crazypaco
1191,0,7,-1,1190,no_geo,en,article,0,Wells_Cathedral,0,2013-02-26T05:00:00.000Z,0,Amandajm
472,0,1,0,472,no_geo,en,wikipedia,0,Wikipedia:Administrators'_noticeboard/Incidents,0,2013-02-26T05:00:00.000Z,0,Sailsbystars
367,0,1,0,367,no_geo,en,wikipedia,0,Wikipedia:Categories_for_discussion/Log/2013_February_24,0,2013-02-26T05:00:00.000Z,0,Orlady
2,0,1,0,2,no_geo,en,wikipedia,0,Wikipedia:Good_articles/Warfare,0,2013-02-26T05:00:00.000Z,0,Diannaa
0,1,1,-6,-6,known,en,wikipedia,0,Wikipedia:Montana_Basketball_Legends/sandbox,0,2013-02-26T05:00:00.000Z,0,75.175.238.67
277,0,1,0,277,no_geo,en,wikipedia,0,Wikipedia:Templates_for_discussion/Log/2013_February_25,0,2013-02-26T05:00:00.000Z,0,Cloudz679
55,0,1,0,55,no_geo,en,wikipedia,1,Wikipedia:WikiProject_Comics/Peer_review/Bugs_Bunny,0,2013-02-26T05:00:00.000Z,0,Jj98
440,0,2,-6,434,no_geo,ja,wikipedia,0,Wikipedia:削除依頼/江島潔,0,2013-02-26T05:00:00.000Z,0,ひとむら
0,0,1,-4,-4,no_geo,en,wikipedia,0,Wikipedia_talk:Articles_for_creation/''Roseodendron'',1,2013-02-26T05:00:00.000Z,0,AvicBot
377,0,1,0,377,no_geo,en,wikipedia,0,Wikipedia_talk:Milestone_statistics,0,2013-02-26T05:00:00.000Z,0,JIP
1786,0,1,0,1786,no_geo,ms,article,1,Wilayah_Manawatu-Wanganui,0,2013-02-26T05:00:00.000Z,0,Ranking Update
0,0,1,-6,-6,no_geo,en,article,0,Wonder_Woman,0,2013-02-26T05:00:00.000Z,0,Khazar2
2045,0,1,0,2045,no_geo,sv,article,1,Xenagoniates_bondi,1,2013-02-26T05:00:00.000Z,0,Lsjbot
28,0,1,0,28,no_geo,nl,article,0,Yllenus_zhilgaensis,1,2013-02-26T05:00:00.000Z,0,EmausBot
