happy,year,age,sex,marital,degree,finrela,health,wtssall
pretty happy,1994,46,male,married,junior college,far above average,NA,1.0825
pretty happy,1994,25,female,married,bachelor,below average,good,1.0825
pretty happy,1994,35,female,never married,junior college,below average,fair,0.5412
very happy,1994,35,female,married,junior college,average,excellent,1.0825
very happy,1994,57,female,married,high school,average,good,1.0825
pretty happy,1994,30,female,married,bachelor,average,NA,1.0825
very happy,1994,53,female,married,high school,average,NA,1.0825
pretty happy,1994,22,female,never married,high school,below average,NA,0.5412
pretty happy,1994,19,female,never married,lt high school,below average,good,1.0825
pretty happy,1994,22,female,never married,high school,far below average,NA,0.5412
pretty happy,1994,24,female,divorced,high school,far below average,fair,0.5412
pretty happy,1994,46,male,divorced,high school,above average,good,1.0825
pretty happy,1994,30,male,divorced,high school,above average,NA,0.5412
pretty happy,1994,62,male,divorced,bachelor,average,NA,0.5412
pretty happy,1994,46,female,divorced,high school,average,NA,0.5412
pretty happy,1994,37,male,married,bachelor,above average,fair,1.0825
pretty happy,1994,46,male,married,graduate,average,good,1.0825
pretty happy,1994,25,male,married,bachelor,above average,excellent,1.0825
very happy,1994,46,male,married,graduate,far above average,excellent,1.0825
pretty happy,1994,43,female,married,lt high school,average,fair,1.0825
very happy,1994,31,female,married,junior college,average,excellent,1.0825
pretty happy,1994,27,female,married,bachelor,above average,NA,1.0825
very happy,1994,28,male,married,bachelor,below average,excellent,1.0825
pretty happy,1994,45,male,married,graduate,above average,good,1.0825
pretty happy,1994,33,male,married,junior college,above average,good,1.0825
pretty happy,1994,34,female,married,high school,below average,fair,1.0825
very happy,1994,60,male,divorced,high school,average,good,0.5412
not too happy,1994,38,male,married,high school,average,NA,1.0825
very happy,1994,34,female,married,lt high school,average,good,1.0825
very happy,1994,30,male,married,high school,above average,NA,1.0825
pretty happy,1994,51,female,married,high school,above average,NA,1.0825
very happy,1994,51,female,married,junior college,above average,NA,1.0825
very happy,1994,39,male,married,high school,average,good,1.0825
pretty happy,1994,39,female,married,high school,average,good,1.0825
very happy,1994,73,female,married,high school,above average,good,1.0825
very happy,1994,39,male,married,graduate,average,NA,1.0825
pretty happy,1994,36,male,married,junior college,below average,good,1.0825
pretty happy,1994,54,female,divorced,high school,above average,good,1.6237
pretty happy,1994,89,female,widowed,lt high school,average,NA,0.5412
pretty happy,1994,32,female,divorced,junior college,below average,fair,0.5412
very happy,1994,25,male,married,high school,above average,excellent,1.0825
pretty happy,1994,76,male,married,high school,average,good,1.0825
pretty happy,1994,29,male,never married,high school,average,good,0.5412
pretty happy,1994,23,male,never married,high school,average,NA,1.0825
pretty happy,1994,33,male,divorced,high school,average,NA,1.0825
pretty happy,1994,70,female,widowed,lt high school,average,fair,0.5412
very happy,1994,63,male,married,high school,above average,poor,1.0825
pretty happy,1994,37,female,married,high school,average,good,1.0825
not too happy,1994,45,male,married,high school,average,fair,1.0825
pretty happy,1994,70,female,married,lt high school,average,good,1.0825
very happy,1994,42,female,married,bachelor,average,NA,1.0825
very happy,1994,50,male,married,high school,above average,good,1.0825
very happy,1994,50,female,divorced,high school,below average,excellent,0.5412
very happy,1994,32,female,married,bachelor,below average,NA,1.0825
pretty happy,1994,36,male,married,bachelor,below average,excellent,1.0825
pretty happy,1994,42,female,never married,high school,average,excellent,1.0825
pretty happy,1994,63,male,widowed,lt high school,average,NA,0.5412
pretty happy,1994,37,female,married,high school,below average,fair,1.0825
not too happy,1994,36,female,never married,high school,below average,NA,0.5412
pretty happy,1994,61,female,divorced,high school,average,good,0.5412
pretty happy,1994,67,female,never married,high school,NA,fair,1.0825
pretty happy,1994,77,female,widowed,high school,average,good,0.5412
very happy,1994,66,male,married,bachelor,average,NA,1.0825
very happy,1994,68,female,married,high school,below average,NA,1.0825
pretty happy,1994,57,male,divorced,lt high school,below average,NA,0.5412
not too happy,1994,81,female,widowed,lt high school,below average,NA,0.5412
pretty happy,1994,37,female,never married,high school,average,good,0.5412
pretty happy,1994,44,female,never married,high school,far below average,NA,1.0825
pretty happy,1994,48,female,never married,high school,below average,NA,1.0825
very happy,1994,49,female,never married,lt high school,below average,fair,1.0825
pretty happy,1994,51,female,separated,high school,average,NA,0.5412
very happy,1994,57,female,married,bachelor,average,good,1.0825
pretty happy,1994,68,female,married,high school,average,NA,1.0825
pretty happy,1994,29,female,married,bachelor,average,good,1.0825
pretty happy,1994,31,female,married,high school,below average,good,1.0825
pretty happy,1994,42,female,married,lt high school,average,good,1.0825
very happy,1994,39,male,married,junior college,average,good,1.0825
pretty happy,1994,42,female,married,lt high school,average,good,1.0825
very happy,1994,52,female,married,lt high school,below average,good,1.0825
pretty happy,1994,48,female,married,junior college,above average,good,1.0825
very happy,1994,74,female,married,high school,average,NA,1.0825
very happy,1994,58,female,married,lt high school,average,fair,1.0825
pretty happy,1994,72,female,widowed,lt high school,below average,poor,0.5412
pretty happy,1994,43,female,married,high school,average,excellent,1.0825
not too happy,1994,18,male,never married,lt high school,average,NA,1.6237
very happy,1994,29,female,married,junior college,average,good,1.0825
not too happy,1994,60,female,married,lt high school,above average,good,1.0825
pretty happy,1994,74,female,widowed,high school,below average,fair,1.0825
very happy,1994,58,male,married,high school,average,NA,1.0825
pretty happy,1994,62,male,widowed,high school,average,fair,0.5412
very happy,1994,63,female,married,high school,average,excellent,1.0825
pretty happy,1994,28,female,married,high school,average,good,1.0825
very happy,1994,74,female,widowed,lt high school,below average,poor,1.0825
pretty happy,1994,29,male,never married,bachelor,average,NA,0.5412
very happy,1994,71,female,married,high school,above average,fair,1.0825
not too happy,1994,72,female,widowed,lt high school,average,NA,0.5412
not too happy,1994,35,female,divorced,high school,below average,excellent,1.0825
very happy,1994,18,male,never married,lt high school,average,good,1.6237
very happy,1994,24,female,divorced,lt high school,average,good,1.0825
pretty happy,1994,39,female,divorced,high school,average,excellent,0.5412
pretty happy,1994,46,female,separated,high school,below average,NA,1.0825
very happy,1994,29,female,married,high school,above average,good,1.0825
pretty happy,1994,66,male,married,high school,average,good,1.0825
pretty happy,1994,76,female,married,lt high school,far below average,fair,1.0825
pretty happy,1994,50,female,divorced,high school,average,good,0.5412
very happy,1994,23,male,never married,high school,average,excellent,0.5412
pretty happy,1994,78,female,married,lt high school,below average,fair,1.0825
very happy,1994,44,female,married,high school,average,good,2.165
not too happy,1994,64,female,widowed,high school,below average,NA,1.6237
very happy,1994,67,male,married,high school,above average,good,1.0825
very happy,1994,59,female,never married,high school,above average,NA,0.5412
not too happy,1994,84,female,widowed,high school,average,poor,0.5412
pretty happy,1994,44,male,married,high school,above average,excellent,1.0825
not too happy,1994,34,female,married,high school,far below average,fair,0.5412
pretty happy,1994,56,male,married,high school,far above average,NA,1.0825
very happy,1994,33,female,married,high school,average,NA,1.0825
not too happy,1994,27,female,married,bachelor,average,NA,1.0825
pretty happy,1994,45,female,married,lt high school,below average,fair,1.0825
not too happy,1994,57,male,married,lt high school,average,fair,1.0825
pretty happy,1994,20,male,never married,lt high school,below average,fair,1.6237
pretty happy,1994,79,male,married,lt high school,below average,fair,1.0825
pretty happy,1994,38,male,married,lt high school,average,good,1.0825
pretty happy,1994,77,male,divorced,lt high school,average,poor,1.6237
very happy,1994,28,male,married,high school,below average,NA,1.0825
pretty happy,1994,57,male,never married,lt high school,far below average,NA,0.5412
very happy,1994,74,female,never married,graduate,average,NA,0.5412
very happy,1994,74,male,divorced,lt high school,below average,good,0.5412
very happy,1994,59,male,married,lt high school,below average,poor,1.0825
pretty happy,1994,30,female,married,high school,below average,NA,1.0825
pretty happy,1994,57,male,married,high school,below average,fair,1.0825
very happy,1994,48,female,married,junior college,average,excellent,1.0825
pretty happy,1994,41,male,divorced,high school,far below average,good,0.5412
very happy,1994,26,female,married,lt high school,below average,NA,1.0825
pretty happy,1994,84,female,widowed,lt high school,average,good,0.5412
very happy,1994,42,male,divorced,high school,above average,good,0.5412
not too happy,1994,36,female,married,high school,average,NA,1.0825
very happy,1994,86,female,widowed,lt high school,NA,fair,0.5412
very happy,1994,71,female,married,junior college,average,fair,1.0825
very happy,1994,50,male,divorced,lt high school,average,fair,1.0825
pretty happy,1994,58,male,married,lt high school,below average,NA,1.6237
pretty happy,1994,41,female,married,high school,average,fair,1.0825
pretty happy,1994,35,female,separated,lt high school,below average,poor,0.5412
pretty happy,1994,18,female,never married,lt high school,far below average,good,1.6237
not too happy,1994,27,female,never married,lt high school,far below average,NA,0.5412
pretty happy,1994,63,female,married,bachelor,above average,NA,1.0825
pretty happy,1994,59,female,married,high school,below average,good,1.0825
very happy,1994,56,male,married,bachelor,above average,good,1.0825
pretty happy,1994,46,male,married,high school,average,excellent,1.0825
very happy,1994,42,male,married,graduate,above average,good,1.0825
very happy,1994,38,female,married,bachelor,above average,NA,1.0825
not too happy,1994,43,male,married,bachelor,above average,fair,1.0825
very happy,1994,71,female,widowed,graduate,average,excellent,0.5412
not too happy,1994,27,male,never married,high school,above average,fair,1.6237
very happy,1994,50,female,married,high school,average,NA,1.0825
pretty happy,1994,63,male,never married,lt high school,below average,fair,1.0825
pretty happy,1994,31,female,never married,high school,average,good,0.5412
pretty happy,1994,36,male,married,high school,above average,excellent,1.0825
pretty happy,1994,35,male,divorced,lt high school,average,NA,0.5412
pretty happy,1994,69,female,divorced,lt high school,below average,fair,0.5412
pretty happy,1994,76,female,widowed,lt high school,average,fair,0.5412
pretty happy,1994,50,male,married,high school,average,NA,1.0825
pretty happy,1994,69,male,divorced,high school,below average,NA,1.0825
not too happy,1994,63,female,widowed,lt high school,far below average,fair,0.5412
pretty happy,1994,64,female,separated,lt high school,far below average,poor,1.0825
not too happy,1994,38,female,divorced,lt high school,average,NA,0.5412
pretty happy,1994,60,female,widowed,lt high school,average,NA,0.5412
very happy,1994,28,male,married,junior college,average,NA,1.0825
pretty happy,1994,50,male,divorced,junior college,average,poor,1.6237
pretty happy,1994,23,female,married,lt high school,below average,fair,1.6237
very happy,1994,71,female,married,lt high school,below average,fair,1.6237
very happy,1994,42,male,married,high school,average,NA,1.6237
pretty happy,1994,79,female,never married,lt high school,above average,NA,1.0825
very happy,1994,35,female,married,high school,average,NA,1.0825
very happy,1994,51,female,divorced,bachelor,average,excellent,0.5412
pretty happy,1994,31,female,married,high school,below average,good,1.0825
not too happy,1994,45,male,married,high school,average,good,1.0825
very happy,1994,70,female,widowed,high school,average,NA,0.5412
very happy,1994,55,male,married,graduate,above average,NA,1.0825
pretty happy,1994,64,female,married,graduate,above average,good,1.0825
pretty happy,1994,53,male,married,high school,far above average,excellent,1.6237
very happy,1994,79,male,married,high school,above average,good,1.6237
very happy,1994,33,female,married,high school,average,NA,1.0825
pretty happy,1994,37,female,married,bachelor,average,NA,1.0825
pretty happy,1994,48,male,divorced,lt high school,below average,NA,1.0825
very happy,1994,31,female,married,high school,below average,good,1.0825
pretty happy,1994,65,female,widowed,high school,average,fair,0.5412
not too happy,1994,84,female,widowed,high school,below average,good,0.5412
very happy,1994,31,male,married,graduate,below average,excellent,1.0825
pretty happy,1994,34,male,married,high school,average,good,1.0825
pretty happy,1994,54,male,never married,high school,below average,poor,0.5412
very happy,1994,67,male,married,lt high school,average,good,1.6237
very happy,1994,32,female,married,high school,average,excellent,1.0825
pretty happy,1994,81,female,married,lt high school,average,NA,1.0825
pretty happy,1994,42,male,divorced,lt high school,average,fair,0.5412
very happy,1994,49,female,married,high school,average,good,1.6237
very happy,1994,69,male,married,high school,average,NA,1.0825
very happy,1994,37,female,never married,bachelor,average,NA,1.0825
very happy,1994,47,female,divorced,bachelor,above average,excellent,0.5412
pretty happy,1994,39,female,married,high school,below average,good,1.6237
very happy,1994,28,male,married,junior college,average,NA,1.0825
pretty happy,1994,56,male,married,high school,average,good,1.6237
very happy,1994,NA,male,never married,NA,average,NA,1.0825
very happy,1994,31,male,separated,lt high school,average,excellent,1.0825
not too happy,1994,28,female,married,high school,average,excellent,1.0825
pretty happy,1994,26,female,married,high school,below average,NA,1.6237
not too happy,1994,38,male,married,junior college,below average,good,1.0825
pretty happy,1994,77,male,married,high school,average,excellent,1.6237
very happy,1994,76,female,married,lt high school,above average,NA,1.0825
very happy,1994,43,male,married,high school,above average,good,1.0825
pretty happy,1994,44,male,married,lt high school,average,fair,1.0825
very happy,1994,29,male,married,high school,average,good,1.0825
pretty happy,1994,30,female,never married,high school,below average,good,0.5412
pretty happy,1994,36,female,married,high school,average,NA,1.0825
very happy,1994,73,female,married,high school,below average,fair,1.0825
very happy,1994,47,female,married,high school,above average,excellent,1.0825
very happy,1994,50,female,married,high school,average,good,1.0825
pretty happy,1994,31,male,never married,high school,below average,good,2.165
very happy,1994,48,female,widowed,high school,below average,NA,0.5412
pretty happy,1994,31,female,married,high school,average,NA,1.0825
pretty happy,1994,32,male,never married,lt high school,average,NA,1.0825
not too happy,1994,57,female,widowed,high school,average,poor,0.5412
very happy,1994,44,female,married,lt high school,above average,NA,1.0825
pretty happy,1994,73,female,widowed,high school,average,excellent,0.5412
pretty happy,1994,41,female,married,high school,average,NA,1.0825
pretty happy,1994,40,female,divorced,junior college,average,good,1.0825
very happy,1994,43,female,married,high school,average,good,1.6237
pretty happy,1994,46,male,married,junior college,below average,good,1.0825
pretty happy,1994,47,female,married,high school,average,NA,1.0825
pretty happy,1994,42,male,married,high school,below average,good,1.0825
pretty happy,1994,69,female,widowed,high school,average,good,0.5412
not too happy,1994,75,male,married,lt high school,far below average,poor,1.0825
pretty happy,1994,54,female,married,bachelor,average,excellent,1.0825
pretty happy,1994,67,female,widowed,lt high school,below average,good,0.5412
very happy,1994,49,male,married,high school,average,fair,2.165
not too happy,1994,30,male,married,lt high school,average,good,1.6237
pretty happy,1994,48,female,married,high school,above average,NA,1.0825
pretty happy,1994,71,female,married,high school,average,excellent,1.0825
pretty happy,1994,72,female,widowed,lt high school,below average,good,0.5412
very happy,1994,29,female,married,high school,average,NA,1.0825
pretty happy,1994,42,female,divorced,high school,average,NA,1.6237
not too happy,1994,84,male,widowed,lt high school,below average,NA,1.0825
very happy,1994,54,female,separated,high school,below average,good,0.5412
very happy,1994,69,male,married,lt high school,average,excellent,1.0825
very happy,1994,19,male,never married,high school,below average,NA,1.6237
pretty happy,1994,25,male,never married,high school,average,excellent,1.0825
very happy,1994,76,female,widowed,high school,average,good,0.5412
pretty happy,1994,68,female,widowed,bachelor,average,fair,1.6237
pretty happy,1994,61,male,married,high school,below average,fair,1.0825
very happy,1994,26,female,married,bachelor,average,NA,1.0825
not too happy,1994,63,male,married,high school,below average,good,1.0825
very happy,1994,38,female,married,high school,average,NA,1.0825
pretty happy,1994,80,female,divorced,high school,far below average,NA,0.5412
pretty happy,1994,39,female,separated,high school,average,fair,0.5412
pretty happy,1994,64,male,married,lt high school,above average,good,1.0825
very happy,1994,21,male,never married,high school,average,good,1.6237
very happy,1994,61,female,married,high school,below average,excellent,1.0825
pretty happy,1994,36,female,widowed,high school,average,good,0.5412
pretty happy,1994,57,female,married,high school,average,good,1.0825
pretty happy,1994,51,female,married,high school,below average,NA,1.0825
very happy,1994,46,female,married,high school,above average,excellent,2.165
very happy,1994,54,female,married,lt high school,average,fair,1.6237
pretty happy,1994,80,male,married,lt high school,average,good,1.0825
pretty happy,1994,28,male,married,bachelor,average,good,1.0825
pretty happy,1994,89,male,separated,high school,below average,NA,0.5412
pretty happy,1994,79,female,separated,lt high school,average,fair,0.5412
pretty happy,1994,79,female,widowed,lt high school,average,good,0.5412
pretty happy,1994,65,female,divorced,lt high school,average,NA,0.5412
pretty happy,1994,76,female,widowed,high school,average,fair,0.5412
pretty happy,1994,84,female,married,lt high school,average,NA,1.0825
pretty happy,1994,60,female,married,high school,far above average,excellent,1.0825
not too happy,1994,49,female,divorced,high school,far below average,poor,0.5412
pretty happy,1994,71,female,widowed,lt high school,below average,NA,0.5412
not too happy,1994,56,male,divorced,lt high school,below average,NA,0.5412
pretty happy,1994,21,female,never married,lt high school,average,good,0.5412
not too happy,1994,34,female,divorced,high school,far below average,fair,1.0825
pretty happy,1994,28,female,never married,lt high school,below average,NA,0.5412
very happy,1994,75,male,widowed,lt high school,average,fair,0.5412
not too happy,1994,88,female,widowed,lt high school,average,poor,0.5412
pretty happy,1994,89,female,never married,lt high school,average,NA,0.5412
pretty happy,1994,30,female,married,high school,below average,excellent,1.0825
very happy,1994,41,male,divorced,high school,above average,NA,0.5412
not too happy,1994,28,female,married,high school,average,fair,1.0825
pretty happy,1994,70,male,widowed,high school,below average,NA,0.5412
not too happy,1994,35,female,divorced,high school,far below average,fair,1.0825
pretty happy,1994,31,male,married,high school,NA,good,1.0825
pretty happy,1994,36,female,married,high school,above average,excellent,2.165
very happy,1994,42,female,married,high school,average,NA,1.0825
pretty happy,1994,19,female,never married,lt high school,below average,NA,1.6237
not too happy,1994,44,male,married,high school,above average,good,1.6237
pretty happy,1994,41,male,married,bachelor,average,good,1.0825
pretty happy,1994,73,female,married,lt high school,average,good,1.0825
pretty happy,1994,56,male,married,lt high school,average,fair,1.0825
pretty happy,1994,53,female,married,lt high school,far below average,good,1.6237
very happy,1994,29,male,married,junior college,average,good,1.0825
pretty happy,1994,85,female,widowed,high school,average,NA,0.5412
very happy,1994,24,male,never married,bachelor,above average,good,0.5412
very happy,1994,35,female,married,graduate,above average,good,1.0825
very happy,1994,80,male,widowed,lt high school,average,excellent,0.5412
very happy,1994,66,female,widowed,lt high school,below average,fair,0.5412
very happy,1994,54,male,married,lt high school,average,NA,1.6237
not too happy,1994,30,female,separated,junior college,above average,NA,1.6237
pretty happy,1994,26,male,married,junior college,below average,NA,1.0825
pretty happy,1994,25,female,married,high school,average,NA,1.0825
pretty happy,1994,52,male,married,high school,below average,good,1.0825
very happy,1994,49,female,married,high school,above average,excellent,1.0825
pretty happy,1994,47,male,married,high school,average,good,1.6237
not too happy,1994,39,male,married,high school,average,NA,1.0825
pretty happy,1994,49,male,divorced,bachelor,average,excellent,0.5412
very happy,1994,30,male,married,high school,average,excellent,1.0825
pretty happy,1994,43,female,divorced,bachelor,far below average,good,0.5412
pretty happy,1994,20,male,never married,high school,average,excellent,1.6237
pretty happy,1994,51,male,divorced,graduate,above average,NA,0.5412
very happy,1994,23,female,divorced,bachelor,below average,excellent,0.5412
very happy,1994,25,female,married,bachelor,average,NA,1.0825
pretty happy,1994,27,male,married,high school,average,good,1.0825
very happy,1994,32,female,married,high school,below average,excellent,1.0825
pretty happy,1994,29,female,married,high school,below average,fair,1.0825
pretty happy,1994,48,female,divorced,junior college,average,good,0.5412
very happy,1994,62,male,married,lt high school,average,NA,1.0825
pretty happy,1994,57,male,married,high school,below average,poor,1.0825
pretty happy,1994,80,male,married,bachelor,average,good,1.0825
pretty happy,1994,27,female,never married,high school,below average,NA,0.5412
pretty happy,1994,32,female,separated,high school,below average,fair,0.5412
pretty happy,1994,60,female,widowed,high school,far below average,fair,0.5412
pretty happy,1994,50,female,married,bachelor,average,NA,1.0825
very happy,1994,62,male,married,lt high school,below average,poor,1.0825
pretty happy,1994,33,male,married,lt high school,average,NA,1.0825
not too happy,1994,67,female,widowed,lt high school,average,fair,0.5412
not too happy,1994,77,male,separated,lt high school,below average,NA,0.5412
pretty happy,1994,45,female,married,lt high school,below average,good,1.0825
pretty happy,1994,40,female,married,lt high school,below average,NA,1.0825
not too happy,1994,80,female,widowed,lt high school,far below average,NA,1.0825
pretty happy,1994,32,female,married,high school,average,good,1.0825
very happy,1994,79,male,married,high school,below average,excellent,1.0825
very happy,1994,21,female,married,high school,average,excellent,1.0825
not too happy,1994,51,female,married,high school,average,good,1.0825
pretty happy,1994,41,female,married,high school,below average,good,1.0825
very happy,1994,32,female,married,high school,average,NA,1.0825
pretty happy,1994,73,female,widowed,high school,average,good,0.5412
not too happy,1994,74,female,widowed,lt high school,average,good,0.5412
pretty happy,1994,30,female,divorced,high school,average,good,0.5412
pretty happy,1994,63,female,married,high school,average,good,1.0825
pretty happy,1994,29,female,married,high school,average,good,1.0825
very happy,1994,26,female,divorced,bachelor,average,NA,0.5412
pretty happy,1994,39,male,married,bachelor,below average,NA,1.0825
pretty happy,1994,38,male,divorced,high school,average,excellent,1.0825
pretty happy,1994,75,female,married,high school,average,good,1.0825
pretty happy,1994,65,male,married,junior college,above average,NA,1.0825
very happy,1994,68,female,married,bachelor,above average,good,1.0825
pretty happy,1994,60,female,married,high school,average,NA,1.0825
not too happy,1994,41,female,married,high school,below average,good,1.6237
pretty happy,1994,47,female,married,high school,average,NA,1.0825
not too happy,1994,31,female,married,graduate,far above average,NA,1.0825
pretty happy,1994,32,male,married,high school,average,good,1.0825
very happy,1994,58,female,widowed,high school,above average,good,0.5412
pretty happy,1994,24,male,never married,high school,average,excellent,0.5412
pretty happy,1994,71,female,widowed,lt high school,average,NA,0.5412
pretty happy,1994,49,female,married,high school,above average,NA,1.0825
pretty happy,1994,78,female,widowed,lt high school,average,good,0.5412
pretty happy,1994,46,male,married,high school,average,excellent,2.165
pretty happy,1994,56,female,married,lt high school,below average,NA,1.0825
pretty happy,1994,82,male,married,lt high school,above average,NA,1.0825
pretty happy,1994,64,female,married,high school,average,poor,2.165
very happy,1994,31,male,married,high school,above average,excellent,1.0825
not too happy,1994,24,female,divorced,lt high school,average,excellent,1.0825
pretty happy,1994,52,female,never married,high school,average,good,0.5412
very happy,1994,36,female,divorced,bachelor,above average,NA,0.5412
pretty happy,1994,39,female,separated,high school,average,NA,0.5412
very happy,1994,76,male,married,lt high school,below average,NA,1.0825
pretty happy,1994,19,female,never married,lt high school,below average,good,2.165
pretty happy,1994,40,female,married,graduate,average,excellent,1.0825
pretty happy,1994,42,female,divorced,junior college,below average,NA,0.5412
pretty happy,1994,30,female,never married,junior college,average,excellent,1.0825
very happy,1994,29,female,married,high school,above average,excellent,1.0825
pretty happy,1994,41,female,married,bachelor,above average,NA,2.165
very happy,1994,52,male,married,graduate,above average,excellent,1.0825
pretty happy,1994,25,female,married,high school,average,good,1.0825
pretty happy,1994,51,female,married,high school,above average,excellent,1.6237
pretty happy,1994,38,female,married,junior college,below average,fair,1.0825
pretty happy,1994,47,female,divorced,junior college,average,excellent,1.0825
pretty happy,1994,42,male,married,high school,average,NA,1.0825
pretty happy,1994,42,male,married,high school,average,good,1.0825
pretty happy,1994,65,female,widowed,high school,average,NA,0.5412
very happy,1994,52,female,married,high school,average,excellent,1.0825
pretty happy,1994,49,male,married,graduate,above average,excellent,1.0825
pretty happy,1994,42,female,married,high school,above average,good,1.6237
very happy,1994,31,male,married,high school,average,good,1.0825
pretty happy,1994,21,male,never married,high school,average,NA,1.6237
pretty happy,1994,77,female,widowed,high school,below average,NA,0.5412
pretty happy,1994,22,male,married,high school,average,poor,1.0825
pretty happy,1994,27,male,married,high school,below average,excellent,1.0825
pretty happy,1994,50,female,married,high school,average,NA,1.0825
pretty happy,1994,33,female,married,high school,below average,excellent,1.0825
very happy,1994,64,female,never married,bachelor,average,excellent,0.5412
very happy,1994,34,female,divorced,high school,below average,excellent,1.0825
pretty happy,1994,54,female,divorced,graduate,average,NA,0.5412
not too happy,1994,28,male,married,high school,above average,fair,2.7062
pretty happy,1994,43,female,divorced,high school,average,good,1.0825
very happy,1994,34,male,married,junior college,average,NA,1.0825
pretty happy,1994,31,male,married,high school,average,good,1.0825
pretty happy,1994,22,female,never married,high school,average,NA,1.0825
pretty happy,1994,80,female,widowed,lt high school,below average,fair,0.5412
not too happy,1994,43,male,divorced,high school,average,fair,0.5412
pretty happy,1994,26,female,never married,bachelor,above average,NA,0.5412
very happy,1994,80,male,married,high school,below average,NA,1.0825
not too happy,1994,89,female,widowed,lt high school,average,NA,0.5412
very happy,1994,20,male,never married,high school,below average,excellent,1.0825
pretty happy,1994,45,male,divorced,graduate,above average,excellent,0.5412
pretty happy,1994,36,female,married,bachelor,above average,excellent,1.0825
pretty happy,1994,55,female,married,high school,below average,good,1.0825
pretty happy,1994,46,female,divorced,high school,average,good,0.5412
pretty happy,1994,37,female,divorced,lt high school,average,good,0.5412
very happy,1994,49,female,married,junior college,below average,good,1.0825
very happy,1994,32,male,married,high school,average,NA,1.0825
pretty happy,1994,43,female,married,high school,above average,NA,1.0825
very happy,1994,54,male,married,high school,average,NA,1.0825
pretty happy,1994,39,female,married,high school,above average,excellent,1.0825
pretty happy,1994,77,female,widowed,lt high school,average,fair,0.5412
very happy,1994,73,female,married,high school,average,NA,1.0825
pretty happy,1994,36,female,separated,high school,average,NA,0.5412
not too happy,1994,65,female,married,high school,average,NA,1.0825
not too happy,1994,59,female,widowed,lt high school,below average,fair,1.0825
pretty happy,1994,47,male,married,high school,below average,fair,1.6237
pretty happy,1994,39,female,married,bachelor,average,excellent,0.5412
pretty happy,1994,62,male,married,high school,average,good,1.0825
pretty happy,1994,45,female,divorced,lt high school,average,good,0.5412
pretty happy,1994,51,female,widowed,bachelor,below average,excellent,0.5412
pretty happy,1994,26,female,married,high school,average,good,1.0825
very happy,1994,81,female,widowed,bachelor,average,excellent,0.5412
pretty happy,1994,39,male,married,high school,average,NA,1.0825
pretty happy,1994,43,female,divorced,high school,below average,excellent,0.5412
not too happy,1994,37,female,separated,junior college,average,poor,0.5412
very happy,1994,47,male,married,high school,below average,excellent,1.0825
pretty happy,1994,89,female,never married,graduate,NA,NA,0.5412
pretty happy,1994,29,male,never married,lt high school,average,fair,1.0825
pretty happy,1994,32,male,never married,high school,above average,good,0.5412
pretty happy,1994,75,female,widowed,high school,above average,NA,0.5412
pretty happy,1994,69,female,married,lt high school,average,NA,1.0825
pretty happy,1994,30,female,separated,high school,below average,good,0.5412
very happy,1994,79,male,married,lt high school,below average,NA,1.0825
very happy,1994,35,male,married,high school,average,NA,1.0825
very happy,1994,67,female,married,graduate,below average,excellent,1.0825
pretty happy,1994,59,female,married,high school,above average,NA,1.0825
pretty happy,1994,72,male,married,lt high school,below average,fair,1.0825
very happy,1994,76,male,widowed,high school,average,poor,0.5412
pretty happy,1994,46,male,never married,high school,average,good,1.0825
pretty happy,1994,76,female,divorced,high school,average,NA,1.0825
pretty happy,1994,52,female,divorced,high school,far below average,excellent,1.0825
not too happy,1994,48,female,separated,high school,below average,good,0.5412
very happy,1994,77,female,widowed,lt high school,average,NA,0.5412
very happy,1994,50,female,never married,bachelor,average,good,0.5412
not too happy,1994,70,male,widowed,high school,below average,fair,1.0825
very happy,1994,44,female,divorced,bachelor,above average,good,0.5412
not too happy,1994,28,female,never married,high school,below average,good,0.5412
very happy,1994,21,male,married,high school,average,NA,1.0825
pretty happy,1994,38,male,married,bachelor,below average,good,1.0825
very happy,1994,27,female,married,high school,above average,NA,1.0825
pretty happy,1994,40,male,divorced,high school,above average,excellent,0.5412
not too happy,1994,43,female,married,bachelor,below average,excellent,1.0825
not too happy,1994,69,female,widowed,lt high school,average,fair,0.5412
pretty happy,1994,27,female,divorced,bachelor,below average,good,0.5412
pretty happy,1994,47,male,married,lt high school,above average,NA,1.0825
pretty happy,1994,41,male,never married,high school,below average,NA,0.5412
pretty happy,1994,33,male,never married,high school,below average,good,0.5412
pretty happy,1994,28,male,never married,bachelor,above average,NA,0.5412
very happy,1994,28,female,married,high school,average,NA,1.0825
pretty happy,1994,27,female,never married,lt high school,far below average,fair,1.0825
pretty happy,1994,66,male,divorced,graduate,above average,NA,0.5412
pretty happy,1994,66,female,divorced,bachelor,above average,NA,0.5412
not too happy,1994,35,female,married,high school,far below average,poor,1.0825
pretty happy,1994,52,male,separated,high school,below average,good,1.6237
very happy,1994,32,female,married,high school,far below average,NA,1.0825
pretty happy,1994,39,male,never married,high school,average,NA,0.5412
pretty happy,1994,32,female,married,high school,average,good,1.0825
pretty happy,1994,34,female,never married,high school,average,NA,0.5412
pretty happy,1994,31,female,married,high school,average,good,1.0825
very happy,1994,42,male,married,high school,average,excellent,1.6237
very happy,1994,24,male,married,bachelor,average,excellent,1.0825
